범죄분류,일,월,화,수,목,금,토
살인기수,50,55,43,61,40,54,53
살인미수등,91,86,78,81,70,81,71
강도,167,157,166,165,163,175,156
강간,873,655,701,655,615,760,896
유사강간,86,67,93,82,65,82,108
강제추행,2373,2091,2122,2128,2228,2471,2641
기타 강간 강제추행등,62,56,61,51,52,58,68
방화,229,218,211,193,223,221,207
절도범죄,28759,27683,27628,27861,27809,30852,32445
상해,7820,6594,6886,6853,6770,7161,7944
폭행,27162,20470,21793,22403,22168,23728,28079
체포 감금,175,208,191,209,179,188,168
협박,2349,2197,2254,2268,2231,2242,2329
약취 유인,28,30,31,36,17,29,30
폭력행위등,2445,1586,1685,1667,1654,1845,2420
공갈,413,549,573,546,566,548,550
손괴,8865,7787,7974,7949,7990,8839,9723
직무유기,43,99,89,91,86,94,29
직권남용,25,66,77,76,88,64,41
증수뢰,24,49,32,51,36,52,16
통화,57,332,332,312,343,356,79
문서 인장,874,2427,2232,2245,2157,2294,1066
유가증권인지,7,47,45,37,32,38,13
사기,19759,39426,40183,40326,40052,39638,22229
횡령,6159,7309,7087,7193,7309,8077,6919
배임,274,706,749,753,706,823,347
성풍속범죄,1501,1834,2080,1815,1970,1918,1601
도박범죄,1510,1866,1894,1964,1932,2378,1902
특별경제범죄,6113,10131,10943,10292,10365,10401,6780
마약범죄,786,1143,1225,1118,1088,1200,769
보건범죄,1076,2288,2449,2413,2487,2545,1404
환경범죄,335,715,764,738,732,687,378
교통범죄,79265,80279,85163,85277,87438,91267,91712
노동범죄,84,468,570,406,425,397,107
안보범죄,4,14,16,11,16,6,14
선거범죄,109,159,138,224,139,145,104
병역범죄,178,3854,4422,2431,2750,2760,256
기타범죄,29040,39069,40675,39676,40077,40735,31267
