범죄분류,불취학,초등학교(재중),초등학교(중퇴),초등학교(졸업),중학교(재중),중학교(중퇴),중학교(졸업),고등학교(재중),고등학교(중퇴),고등학교(졸업),대학(4년미만)(재중),대학(4년미만)(중퇴),대학(4년미만)(졸업),대학(4년이상)(재중),대학(4년이상)(중퇴),대학(4년이상)(졸업),대학원(재중),대학원(중퇴),대학원(졸업),기타,미상
살인기수,8,0,4,25,1,12,36,0,18,124,0,3,16,1,9,30,0,0,1,3,88
살인미수등,10,0,15,57,1,33,79,6,46,192,1,4,14,5,11,33,1,1,2,16,89
강도,9,0,14,59,41,85,146,110,180,568,7,23,58,36,45,72,5,7,6,23,222
강간,25,2,45,147,106,114,244,316,279,1358,40,35,222,253,170,504,47,15,66,48,1793
유사강간,3,0,7,28,27,8,19,37,14,162,8,3,21,36,11,65,7,0,10,10,122
강제추행,125,2,216,676,228,251,795,484,402,4293,72,109,828,714,373,2683,139,35,512,301,2778
기타 강간 강제추행등,5,1,12,21,18,21,34,64,37,145,2,4,15,10,10,33,3,1,8,4,73
방화,29,0,39,103,41,48,142,73,77,429,3,12,34,21,29,87,1,2,9,18,199
절도범죄,2079,46,2216,6541,6196,3286,7969,9695,6010,28854,622,572,3520,3211,2199,8218,445,182,932,1396,12226
상해,766,8,901,3832,487,1600,5790,1433,3005,24563,340,437,3151,1574,1715,6631,203,115,890,841,7413
폭행,1131,12,1486,6221,729,2672,9586,2366,4675,46435,472,653,5350,2637,3210,14169,399,257,1987,1847,110563
체포 감금,2,0,7,49,11,37,85,21,78,432,4,13,63,42,42,138,4,4,24,12,619
협박,122,2,189,750,42,334,1095,131,592,5048,27,87,595,206,342,1644,31,21,219,225,5123
약취 유인,1,0,2,12,0,8,12,1,9,99,1,2,15,1,6,27,1,0,6,3,99
폭력행위등,147,16,194,885,1673,739,2285,3051,2190,12870,381,257,1443,1619,964,2991,158,76,336,444,8244
공갈,13,0,20,90,241,111,249,292,234,862,13,23,65,37,84,191,8,6,25,42,1032
손괴,419,2,444,1757,146,736,2618,375,1196,12174,112,183,1585,714,806,4022,103,71,546,462,6524
직무유기,0,0,0,3,0,0,1,0,0,27,0,0,12,0,5,90,0,0,9,0,495
직권남용,0,0,0,2,0,0,0,0,0,20,0,0,7,1,5,49,0,0,9,2,482
증수뢰,1,0,0,15,0,3,23,0,9,194,0,1,71,2,13,201,2,0,48,6,199
통화,0,1,0,5,15,4,3,6,11,34,0,1,1,3,1,5,0,0,0,0,130
문서 인장,41,0,60,289,78,175,543,1258,506,3296,41,61,456,156,341,1414,34,30,264,117,8864
유가증권인지,0,0,3,9,0,2,6,0,3,71,0,0,7,0,6,18,0,0,6,5,237
사기,408,9,767,3803,599,2570,8676,2660,6183,50322,360,949,5273,2283,4741,13986,331,380,1960,1719,115231
횡령,215,1,289,1180,157,440,1508,843,805,8003,78,118,1028,493,712,2866,66,64,508,286,15923
배임,9,0,6,95,0,24,162,2,56,1030,1,7,201,23,55,812,9,5,170,18,4923
성풍속범죄,35,1,62,217,274,149,396,734,241,3291,89,51,710,954,446,1956,117,31,218,148,1087
도박범죄,241,0,331,1927,5,680,3230,89,1028,14652,68,209,1994,706,978,3503,68,41,261,621,3310
특별경제범죄,465,1,586,2731,67,1199,4459,305,1990,23954,112,327,3028,1108,1631,7726,149,130,1066,1090,25545
마약범죄,233,0,151,574,1,385,853,9,534,2706,11,64,248,104,215,644,19,15,105,160,1412
보건범죄,202,0,178,1241,2,229,1542,8,330,6843,12,43,1118,124,417,4709,52,36,843,204,3516
환경범죄,24,0,41,224,4,48,311,5,71,1285,1,11,266,15,55,725,6,7,119,41,543
교통범죄,1774,10,2490,15315,739,3932,22807,4233,7118,170130,609,1054,23484,6116,7285,70062,1229,350,5931,8249,202435
노동범죄,25,0,53,330,0,73,442,1,135,2870,1,30,400,22,101,634,8,14,54,93,574
안보범죄,1,0,0,0,1,2,1,0,0,40,0,0,3,4,1,19,0,0,1,4,74
선거범죄,9,0,3,25,0,6,60,1,14,299,3,4,58,22,13,326,10,4,139,23,506
병역범죄,4,0,5,37,0,87,958,2,1040,7656,52,190,677,647,1441,1497,89,107,128,156,886
기타범죄,1739,9,2341,11807,705,4250,19230,3240,7822,103104,603,1256,14251,5381,6700,36510,909,558,5359,4334,80762
